# stem	patterns	forms	book-weight	bare — tools/discover.py
# candidates held back for being one letter from an entry. Most are
# that entry misspelt; some are words with an unlucky neighbour.
шкентай	4	3	10	30
көнтері	5	3	8	30
чао	3	3	8	30
қабеке	7	8	139	29
үнд	3	4	118	29
қосшағыл	18	9	64	29
ганг	7	3	35	29
бораш	10	4	31	29
самарқант	13	6	31	29
шіңгіл	14	6	31	29
ындыс	15	9	28	29
шанин	9	5	27	29
петро	3	3	24	29
махамбетов	5	3	18	29
шеркес	10	5	17	29
турфан	5	4	16	29
жира	4	4	14	29
иск	3	3	14	29
халиолла	3	3	14	29
әмзе	4	4	13	29
қосжан	3	3	13	29
таспиық	10	4	12	29
арарат	6	3	11	29
төрк	4	3	10	29
шүрен	4	3	9	29
алмат	5	3	8	29
лов	4	3	8	29
данқ	13	9	71	28
киг	7	8	62	28
моңғұл	21	13	54	28
афины	14	11	45	28
маңырақ	13	6	39	28
хохол	21	9	37	28
сақыш	10	5	30	28
қарсақпай	8	6	27	28
фет	13	7	22	28
шәриф	11	6	22	28
көй	12	8	20	28
болатов	9	5	19	28
жанатай	6	5	19	28
бекжанов	8	4	18	28
тұраш	7	3	18	28
кендебай	4	3	17	28
махмудов	9	4	14	28
қазақия	3	3	13	28
мишка	3	3	10	28
тұрғанбай	4	3	10	28
яхуди	7	4	10	28
стрелка	4	4	9	28
кетк	4	3	224	27
рме	20	17	176	27
икон	42	24	115	27
кредо	8	8	75	27
кұрт	22	17	71	27
бега	4	4	56	27
ақшахан	6	5	48	27
рсе	6	6	43	27
жетісай	7	6	38	27
батыраш	14	7	37	27
букейханов	3	3	36	27
оғуз	21	9	32	27
пке	8	5	30	27
перізат	11	7	29	27
шеллинг	11	6	28	27
азнабай	10	7	27	27
аплатон	6	4	27	27
қамза	5	5	27	27
екей	9	6	26	27
құдайке	5	5	26	27
оянбас	6	3	25	27
зиарат	4	3	22	27
өзг	4	6	21	27
поляна	5	5	20	27
разин	8	4	20	27
йар	8	7	18	27
эксперт	8	4	17	27
атилла	4	4	16	27
өсербай	5	4	16	27
қазықұрт	6	3	15	27
қожамбет	6	4	14	27
құлбай	5	4	14	27
нбес	6	3	14	27
ізбас	6	4	14	27
исхак	5	3	13	27
почерк	9	5	13	27
сібе	6	4	12	27
архивы	3	3	11	27
гүлістан	6	4	11	27
мүш	5	4	10	27
енбес	5	3	9	27
турция	3	3	9	27
шәһид	6	3	6	27
ншек	14	9	54	26
этнолог	24	12	50	26
аржақ	7	4	47	26
христ	12	6	43	26
хуа	7	5	34	26
құлжанов	9	4	32	26
сфинкс	11	7	32	26
рін	6	5	30	26
шағалақ	11	5	30	26
бәтіш	13	7	29	26
некаһ	19	11	29	26
үрпі	7	5	27	26
зура	6	6	22	26
барнаул	8	4	21	26
жиһангез	15	7	21	26
датов	8	4	19	26
ханеке	4	6	19	26
плиний	5	4	18	26
сарытас	7	4	18	26
атанбақ	5	3	17	26
езде	3	3	16	26
меңдешев	11	5	16	26
османов	5	3	16	26
шақабай	7	5	16	26
жаңбырбай	4	3	14	26
хисап	7	4	12	26
шапай	4	3	12	26
йазид	9	4	11	26
ибаш	10	4	10	26
ирланд	6	3	10	26
ния	3	4	10	26
мәмет	4	3	8	26
тиған	4	3	7	26
сыпат	41	30	208	25
сарта	15	13	126	25
мейрім	20	18	84	25
ғай	8	7	56	25
күман	25	15	51	25
отель	18	8	37	25
түрксиб	14	8	32	25
поза	10	8	30	25
зенон	4	4	26	25
кұдай	7	5	21	25
майн	6	5	21	25
әбдіхалықов	5	3	19	25
ыбрай	3	3	19	25
зияш	11	5	18	25
майлыаяқ	7	3	18	25
ойл	4	3	18	25
мәми	7	5	17	25
шаха	4	4	17	25
балташ	11	5	16	25
рмес	6	3	14	25
садуақасов	7	4	14	25
сарыбұлақ	9	4	14	25
табынай	4	3	14	25
сәлімжан	7	6	13	25
валиди	6	3	12	25
дегенн	4	3	12	25
жид	9	4	12	25
қоянақ	5	3	11	25
саналуан	7	3	11	25
шторм	8	4	11	25
керман	4	3	10	25
рисала	4	3	9	25
никитич	5	3	8	25
марья	3	3	7	25
қасеке	9	11	108	24
пілте	13	11	62	24
сеанс	25	12	55	24
күнәһ	11	11	49	24
ент	3	5	44	24
тұрфан	9	6	35	24
дюма	3	3	31	24
птоломей	8	6	31	24
қасқырбай	6	5	30	24
рел	5	3	23	24
имаш	12	5	21	24
пьесе	10	9	21	24
ақатай	5	4	17	24
ақмолла	5	4	17	24
қарақыз	10	4	17	24
қартбай	6	4	17	24
теміржан	3	3	17	24
ахилл	7	3	16	24
құбылай	6	4	16	24
салманов	9	5	16	24
елегізи	4	3	15	24
қосағаш	10	4	15	24
экстра	6	5	15	24
сейсен	3	3	14	24
тра	5	4	14	24
сабырхан	3	3	12	24
бәтен	3	3	11	24
нөкіс	5	3	11	24
тока	3	3	11	24
крузо	3	3	10	24
зілғара	4	3	9	24
шүңет	7	4	9	24
базаров	6	3	8	24
есенжол	7	3	8	24
зейнел	8	3	8	24
урус	3	3	8	24
ига	3	3	6	24
уәй	6	6	90	23
қалеке	6	6	68	23
дәуке	7	8	61	23
сұқбат	34	17	61	23
өтек	17	10	47	23
ригведа	8	7	44	23
атаке	6	6	36	23
аманқұл	13	7	29	23
мағаш	12	5	28	23
көктоғай	7	6	27	23
гоминдан	8	8	26	23
ілия	5	5	26	23
падишах	9	4	25	23
солт	5	5	21	23
асаубай	5	4	20	23
ела	5	5	20	23
қанікей	4	3	20	23
шеризат	7	6	19	23
елхан	6	4	17	23
рзаханов	11	6	17	23
айырплан	7	5	16	23
йыл	11	6	16	23
кін	5	5	16	23
тәнеке	6	4	16	23
ірбіт	6	4	16	23
қанатбай	6	4	15	23
батырбай	4	3	14	23
жартыбай	4	3	14	23
осі	3	3	13	23
қабдолла	3	3	12	23
сәмбет	8	4	12	23
ванька	3	3	10	23
енесай	3	3	10	23
қыдыров	7	3	9	23
молдаш	7	3	9	23
пчела	3	3	9	23
бабық	7	3	7	23
нел	6	3	6	23
хисметов	5	3	6	23
стрит	17	9	60	22
күләй	10	9	59	22
дуров	16	9	45	22
рукин	11	7	40	22
дүйсеке	7	7	37	22
секе	4	4	36	22
пружина	8	7	33	22
логик	7	4	31	22
ылақ	8	4	26	22
бәзіл	12	5	21	22
берия	4	4	21	22
маруся	4	4	21	22
мырзаш	10	4	21	22
рубрук	5	3	21	22
мәжік	8	4	20	22
сиясат	7	6	20	22
жұң	10	6	18	22
глинка	4	3	17	22
ырысбай	6	4	16	22
қайрақбай	6	4	15	22
милль	9	3	15	22
баянжан	4	4	14	22
паж	12	5	14	22
машан	5	4	13	22
монологі	3	3	13	22
әлімбет	5	3	12	22
кеншімбай	4	3	12	22
қоғабай	4	3	11	22
михайл	9	4	11	22
орысбай	4	3	11	22
менс	3	3	10	22
баязид	7	3	9	22
естерек	5	3	9	22
сход	6	3	9	22
төлеміс	5	3	9	22
басқұдық	7	3	8	22
томпсон	3	3	8	22
хоу	6	3	8	22
бокин	6	3	7	22
носки	6	3	7	22
свита	4	3	6	22
болға	5	4	500	21
қайынаға	10	9	54	21
қален	19	12	48	21
саптаяқ	17	8	46	21
саю	8	5	40	21
риса	6	4	36	21
қасырет	9	6	35	21
изм	15	9	34	21
шыңжан	9	6	34	21
йын	10	8	25	21
крон	7	6	25	21
нұрыш	11	5	24	21
яго	5	5	23	21
кришна	4	4	22	21
қалел	11	5	22	21
қоспан	4	4	21	21
жанарал	7	4	20	21
кювье	3	3	19	21
санчо	6	7	19	21
сартас	9	5	19	21
қобық	10	5	18	21
шаһизат	9	5	18	21
құрымбай	7	5	16	21
яхия	5	5	16	21
шабанбай	5	4	15	21
қалмақан	7	5	14	21
тобаяқ	11	5	14	21
қаблан	4	3	13	21
мақтанбақ	5	4	13	21
арыстанбаб	7	3	12	21
мете	4	4	12	21
мыңжан	4	3	12	21
сапаров	7	3	12	21
атшыбай	4	3	11	21
жарылғас	5	3	11	21
салла	4	4	11	21
мейірхан	5	4	10	21
сүлейменова	3	3	8	21
тәзіке	3	3	8	21
еремин	6	3	7	21
ңыз	8	3	7	21
тамань	4	3	7	21
хами	3	3	7	21
шахмет	4	3	7	21
әбжан	3	3	6	21
бух	7	5	90	20
максима	30	19	81	20
құдия	10	8	73	20
стил	20	11	71	20
жоғ	14	14	45	20
статика	11	9	41	20
шахнама	8	7	35	20
плотин	10	6	32	20
ява	6	6	26	20
бич	6	4	25	20
халха	6	6	25	20
котелок	16	7	24	20
балбұлақ	9	4	23	20
сақара	6	6	22	20
ниса	8	7	21	20
бадыров	9	6	20	20
кельн	10	5	19	20
хашим	12	6	19	20
елка	5	5	17	20
мәтен	8	7	17	20
айнамкөз	10	4	16	20
золя	3	3	16	20
нәмарт	7	4	16	20
ұлбосын	6	5	16	20
авров	6	4	15	20
жақайым	9	5	15	20
оразай	6	5	14	20
сақан	3	3	14	20
жәпек	7	3	13	20
құлыш	10	4	13	20
будун	8	4	12	20
қақабай	5	4	12	20
жанғожа	5	5	11	20
кег	7	4	11	20
барсхан	3	3	10	20
лис	6	3	9	20
сотников	3	3	9	20
қызылқия	3	3	8	20
жайлыбай	4	3	7	20
иранбек	6	3	7	20
мене	3	3	6	20
шина	4	3	6	20
текс	61	40	438	19
спарта	8	8	73	19
тасбұлақ	14	7	49	19
шөңке	15	12	48	19
руссия	6	6	37	19
лавка	14	9	29	19
офис	12	8	28	19
жанкент	13	7	27	19
варуна	5	5	23	19
тұң	4	5	23	19
нұрата	5	5	22	19
тәжен	5	4	20	19
ғазірейіл	12	5	19	19
берікбол	8	3	18	19
көкенай	5	4	18	19
нұрадин	9	5	18	19
өкіреш	10	6	18	19
пәш	9	6	18	19
фуко	3	3	18	19
термез	9	5	17	19
бәйеке	4	4	16	19
грифон	5	3	16	19
қамажай	4	3	16	19
эльмира	5	5	16	19
есеней	4	3	15	19
исенов	4	4	15	19
қожаш	11	5	15	19
суб	6	4	15	19
айхан	4	4	14	19
балғабай	5	4	14	19
гог	5	3	13	19
кинг	9	4	13	19
номад	7	5	13	19
шынай	11	6	13	19
эко	3	3	13	19
байғұз	9	5	11	19
бела	5	4	11	19
карлаг	8	3	11	19
мамун	8	4	11	19
ұзынбұлақ	9	4	11	19
директив	7	3	10	19
сейт	3	3	10	19
малыбай	3	3	9	19
масон	8	4	9	19
микоян	3	3	9	19
шахматов	5	3	9	19
ақымет	6	3	8	19
сәнжан	3	3	8	19
жүке	7	8	56	18
қызымет	14	11	46	18
сенг	4	3	46	18
қөңіл	14	7	44	18
марқая	6	7	40	18
русия	7	7	40	18
байшыкеш	12	6	33	18
бәйт	13	10	32	18
ақмет	12	10	31	18
плитка	12	8	31	18
түркстан	7	5	28	18
параход	11	6	26	18
пенс	15	8	26	18
рибе	7	6	24	18
зейд	12	6	23	18
сирена	7	5	22	18
йима	4	4	21	18
ника	7	6	21	18
митя	5	5	20	18
мыр	7	6	19	18
калуга	7	5	18	18
илия	5	5	17	18
қырықбай	5	4	17	18
арх	3	3	16	18
булатов	9	5	15	18
мұхамедханов	9	3	15	18
кинди	4	3	14	18
мух	6	3	13	18
сәли	8	5	13	18
вин	3	3	12	18
жүмыс	8	4	12	18
ақерке	3	3	11	18
өрдек	10	4	11	18
рхан	3	3	11	18
қүн	8	4	10	18
ркес	5	3	10	18
қыпшақбай	4	3	9	18
сабытай	4	3	9	18
сунақ	8	4	9	18
шато	5	4	9	18
қошай	4	3	7	18
пагон	5	3	7	18
рузе	4	3	6	18
лте	17	17	96	17
құреке	9	10	85	17
сул	4	4	75	17
қарпі	4	4	59	17
сүйеке	6	7	52	17
жауғаш	14	8	47	17
өске	5	3	47	17
тақсырет	4	3	43	17
шән	15	11	39	17
ағаке	5	4	37	17
слободка	11	10	34	17
ақмыш	11	6	31	17
исеке	4	4	31	17
жазымыш	10	4	28	17
тәшкент	11	6	28	17
сема	11	8	27	17
пәлсафа	10	9	26	17
индивидум	12	6	25	17
қанқожа	6	5	25	17
барж	5	5	24	17
сунна	10	8	23	17
анан	5	3	20	17
милюков	9	5	20	17
шашлық	12	6	19	17
ерманов	8	4	18	17
кұшақ	3	3	17	17
полицай	8	5	16	17
қосжанов	8	4	14	17
мінбес	6	3	14	17
тонтай	5	3	14	17
гес	6	6	13	17
гет	10	4	12	17
дзен	5	4	12	17
гера	3	3	11	17
самбо	3	3	11	17
йел	7	4	10	17
күшлік	8	3	10	17
моррис	6	4	10	17
парис	7	3	10	17
сәдібек	7	3	10	17
