# stem	patterns	forms	book-weight	bare — tools/discover.py
# candidates, not entries: read them before admitting them.
# `bare` is how many books write the stem on its own.
жанболатова	4	4	10	16
измайлов	3	3	10	16
құрамысов	9	4	10	16
чичерин	7	4	10	16
бакунин	4	3	9	16
дөрбілжін	3	3	9	16
ойқұдық	7	3	8	16
тәуірбай	4	3	8	16
банзаров	5	3	7	16
шельф	3	3	7	16
шұбарағаш	8	3	6	16
эмбрион	6	3	6	16
нұрке	7	6	50	15
стрелец	18	9	33	15
македон	16	8	31	15
утемисов	3	3	29	15
мұсеке	7	7	28	15
секундант	16	9	28	15
жолмұрат	8	5	23	15
кромвель	11	4	20	15
қостөбе	5	5	19	15
досмухамбетов	3	3	18	15
қарауылқожа	3	3	17	15
петефи	10	6	17	15
гутковский	7	4	16	15
құладүз	7	3	16	15
мәмбетей	5	3	15	15
сезінбес	6	3	15	15
ургенч	4	3	15	15
шахрух	5	3	14	15
қайрош	8	4	13	15
цинизм	4	4	13	15
каменка	5	5	12	15
телікөл	9	4	12	15
қызбел	10	5	10	15
жолдасов	6	3	9	15
противогаз	7	3	8	15
раскольников	7	3	8	15
ахундов	3	3	7	15
әскербек	7	3	7	15
қырымқұлов	7	3	7	15
фейерверк	7	3	7	15
освальд	7	3	6	15
эфталит	18	9	52	14
карамазов	20	11	41	14
воевода	13	9	32	14
трансценденция	9	9	32	14
догматика	9	8	28	14
көкдауыл	12	5	22	14
елдімекен	11	8	20	14
гласный	11	6	19	14
эвклид	7	3	19	14
қарақыстақ	13	6	17	14
утесинов	3	3	17	14
жүзтайлақ	11	4	16	14
бурылтоғай	5	4	15	14
тихомиров	6	3	14	14
құтайба	6	5	13	14
посейдон	3	3	12	14
кордова	4	4	11	14
қоржынкөл	6	3	10	14
қожақұл	7	3	9	14
дмитриевна	3	3	8	14
қағазов	7	3	8	14
батуми	3	3	7	14
сарытоғай	3	3	7	14
арғықазақ	19	10	57	13
тұреке	6	6	39	13
жүсеке	3	3	35	13
кушетка	7	6	29	13
эфиоп	10	5	27	13
сандалкөк	7	3	21	13
сареке	5	6	21	13
коляска	7	6	20	13
теңбілкөк	8	4	20	13
участогі	3	3	20	13
кебекбай	4	3	19	13
кеңқияқ	13	6	19	13
анахита	4	4	18	13
бименде	5	5	16	13
земарх	11	5	16	13
конфиске	3	3	16	13
матильда	5	5	16	13
ашхабат	8	5	15	13
дубский	6	4	15	13
нагасаки	4	3	15	13
остроумов	7	4	14	13
сальери	9	5	14	13
совнархоз	8	4	14	13
нұрмолда	4	4	13	13
обломов	10	5	13	13
саквояж	8	4	13	13
тынянов	5	3	13	13
этномәдениет	7	4	13	13
бабырнама	4	4	12	13
урусов	5	3	12	13
айбасов	5	3	11	13
бердіқұл	10	3	11	13
сағатбек	8	3	11	13
абылайханов	7	3	10	13
рудзутак	8	4	10	13
юечжи	8	4	10	13
мырзақұл	7	3	9	13
сейсеке	3	3	9	13
байсиық	7	3	8	13
констебль	8	3	8	13
мамеке	3	3	8	13
мүслима	3	3	8	13
ьісқақ	7	3	8	13
әтембек	7	3	7	13
эренбург	5	3	6	13
детерминация	26	20	85	12
качалка	16	11	55	12
юэчжи	14	8	40	12
исседон	12	6	36	12
сәрсеке	12	11	28	12
педсовет	6	4	27	12
савромат	13	7	26	12
ельцин	7	4	23	12
үндіеуропа	14	7	23	12
гасфорт	10	6	22	12
ниневия	6	6	22	12
конъюнктура	4	4	21	12
сорқұдық	8	4	21	12
константа	11	6	20	12
орынтақ	8	4	20	12
бенарес	7	4	18	12
сосиска	11	8	18	12
әйтиев	9	4	17	12
әбілтай	4	3	16	12
төлеев	11	5	16	12
есімжан	5	5	15	12
православ	6	3	15	12
кангха	5	4	14	12
смольный	5	4	14	12
суықтөбе	4	4	14	12
халтурщик	8	4	14	12
хуанди	5	4	14	12
азынабай	4	3	13	12
витгенштейн	6	3	13	12
дәуренбек	10	4	13	12
каутский	5	4	13	12
кропоткин	9	4	13	12
қодарқұл	13	5	13	12
садвакасов	3	3	13	12
бейнеубай	4	3	12	12
курсте	6	4	12	12
қалығұл	12	5	12	12
панталон	5	4	12	12
испиджаб	10	4	11	12
ардвисура	4	4	10	12
веревкин	3	3	10	12
жанқылыш	10	4	10	12
калигула	3	3	10	12
малларме	3	3	10	12
кенжегүл	8	3	9	12
линейка	5	4	9	12
лотарингия	3	3	9	12
маленков	6	4	9	12
мұзбел	7	3	9	12
мыңтөбе	3	3	9	12
сияуыш	7	3	9	12
үшқұдық	7	3	9	12
ақкетік	7	3	8	12
беймүмкін	5	3	8	12
борисфен	4	3	8	12
извозчик	6	3	8	12
құлшығаш	9	3	8	12
тепеңкөк	8	4	8	12
царицын	4	3	8	12
шаляпин	6	3	8	12
жаңадария	3	3	7	12
ионов	3	3	7	12
маевский	5	3	7	12
рахматуллин	4	3	6	12
алшеке	6	7	44	11
үндіиран	13	7	37	11
қашғария	6	6	27	11
үндіарий	11	6	27	11
халком	10	6	27	11
бозтөбе	9	8	25	11
