# given	admitted	docs_given	docs_admitted — Russian-document spellings
# replaced by the Kazakh spelling the books show people writing
игисинов	игісінов	0	3
идирис	ідіріс	2	15
идирисов	ідірісов	0	3
избасаров	ізбасаров	2	13
избаскан	ізбасқан	0	6
изберген	ізберген	2	8
изгали	ізғали	0	5
изтилеуов	ізтілеуов	2	31
изтурган	ізтұрған	6	25
илесбай	ілесбай	0	4
илиясов	ілиясов	2	20
имангали	иманғали	7	62
иманкул	иманқұл	0	18
иргебай	іргебай	0	11
исагали	исағали	0	4
искендир	іскендір	2	34
исламгали	исламғали	0	7
кабден	қабден	2	14
кабдолла	қабдолла	0	23
кабдолов	қабдолов	9	83
кабдыгали	қабдығали	0	3
кабиболла	қабиболла	3	52
кабиден	қабиден	0	5
кабидолла	қабидолла	0	5
кабиев	қабиев	0	7
каблан	қаблан	0	21
кабыкен	қабыкен	2	11
кабылбек	қабылбек	0	26
кадирбек	қадірбек	0	13
кадиша	қадиша	5	90
кадырали	қадырәлі	0	4
кадыргали	қадырғали	4	63
кадыржанов	қадыржанов	0	5
кадырхан	қадырхан	3	12
кажыгали	қажығали	0	16
кажымукан	қажымұқан	0	75
кажымухан	қажымұхан	0	3
казез	қазез	0	5
казиза	қазиза	0	3
казтай	қазтай	0	7
казыбек	қазыбек	26	268
казыбеков	қазыбеков	3	14
кайдаров	қайдаров	5	20
кайролла	қайролла	5	36
кайса	қайса	4	21
кайсенов	қайсенов	4	27
кайша	қайша	0	26
кайырбаев	қайырбаев	0	4
кайырбай	қайырбай	0	22
кайырбеков	қайырбеков	5	44
кайыргалиев	қайырғалиев	0	4
кайыржанов	қайыржанов	0	3
кайыров	қайыров	0	8
кайырхан	қайырхан	0	16
какен	кәкен	3	28
калабай	қалабай	4	35
калдан	қалдан	5	95
калдар	қалдар	0	16
калдыбаев	қалдыбаев	5	24
калдыбек	қалдыбек	3	27
калдыкыз	қалдықыз	0	5
калел	қалел	0	21
кален	қален	3	21
калжан	қалжан	2	31
калиаскар	қалиасқар	0	6
калиаскаров	қалиасқаров	0	3
калибек	қалибек	7	48
калида	қалида	0	4
калиев	қалиев	13	74
калижан	қалижан	10	63
калимаш	қалимаш	0	5
калиолла	қалиолла	0	8
калипа	қалипа	0	31
калмаганбетов	қалмағанбетов	0	4
калмахан	қалмахан	0	5
калмурат	қалмұрат	0	9
калмырза	қалмырза	0	23
калымбетов	қалымбетов	2	8
калымжан	қалымжан	0	3
камажай	қамажай	2	19
камза	қамза	0	27
камидолла	қамидолла	0	7
камит	қамит	0	4
канабек	қанабек	6	30
канагатов	қанағатов	0	5
канапия	қанапия	6	65
канатбаев	қанатбаев	0	18
канатбай	қанатбай	3	23
канатбек	қанатбек	0	4
канатжан	қанатжан	0	5
канаткали	қанатқали	0	3
канжарбек	қанжарбек	0	4
канипа	қанипа	0	33
кансулу	қансұлу	0	10
каншайым	қаншайым	4	38
каныбек	қаныбек	0	11
канымкул	қанымкүл	0	3
каныш	қаныш	14	157
капанов	қапанов	0	3
капар	қапар	3	27
карабек	қарабек	5	66
каракулов	қарақұлов	2	13
карашаш	қарашаш	17	116
каржау	қаржау	5	57
каржаубай	қаржаубай	5	43
каржауов	қаржауов	0	9
карибаев	кәрібаев	0	29
карибай	кәрібай	4	58
каримжан	кәрімжан	0	11
карлыбай	қарлыбай	0	4
карлыга	қарлыға	10	123
карсыбай	қарсыбай	0	7
картбаев	қартбаев	2	14
картбай	қартбай	3	24
карымсаков	қарымсақов	5	21
касен	қасен	2	81
каскырбай	қасқырбай	2	24
касымбек	қасымбек	5	42
касымжан	қасымжан	2	18
касымкан	қасымқан	0	9
касымхан	қасымхан	2	51
каусар	кәусәр	5	23
келдибай	келдібай	2	21
келдибек	келдібек	0	35
кенесбаев	кеңесбаев	13	62
кенесбай	кеңесбай	2	24
кенесбек	кеңесбек	0	7
кенжегали	кенжеғали	4	31
кенжегул	кенжеғұл	0	24
кенжегулов	кенжеғұлов	0	4
кенжекул	кенжекүл	0	3
керимбаев	керімбаев	2	13
керимбай	керімбай	0	23
керимбек	керімбек	0	16
керимбеков	керімбеков	2	15
керимжан	керімжан	0	4
керимкул	керімқұл	0	6
кинаят	қинаят	0	8
кобеев	көбеев	3	46
кожабай	қожабай	3	36
кожабек	қожабек	0	33
кожаберген	қожаберген	7	63
кожамурат	қожамұрат	0	5
кожанов	қожанов	4	49
кожахмет	қожахмет	6	90
козыбай	қозыбай	3	26
койбагар	қойбағар	2	34
койбагаров	қойбағаров	0	5
койлыбаев	қойлыбаев	2	8
койшыбаев	қойшыбаев	3	36
койшыбай	қойшыбай	0	49
колбаев	көлбаев	0	7
комекбай	көмекбай	0	10
конаев	қонаев	15	118
конай	қонай	3	51
конакбай	қонақбай	2	28
конарбай	қонарбай	2	23
конырбаев	қоңырбаев	0	6
конысбаев	қонысбаев	0	10
конысбай	қонысбай	3	44
конысбек	қонысбек	0	5
копбосын	көпбосын	0	4
копжасаров	көпжасаров	0	6
коптилеу	көптілеу	0	15
коптилеуов	көптілеуов	0	13
корганбаев	қорғанбаев	0	3
корганбай	қорғанбай	3	70
косаев	қосаев	0	14
косжанов	қосжанов	3	17
кошенов	көшенов	2	15
кошербаев	көшербаев	0	35
кошербай	көшербай	0	34
кошкарбаев	қошқарбаев	4	25
кошкинбаев	көшкінбаев	0	12
кошкинбай	көшкінбай	4	18
куанбай	қуанбай	2	120
куанбек	қуанбек	0	3
куангали	қуанғали	0	6
куандык	қуандық	22	278
куантай	қуантай	0	13
куанткан	қуантқан	0	122
куанышбаев	қуанышбаев	6	52
куанышбай	қуанышбай	0	27
куанышбек	қуанышбек	0	21
куанышкали	қуанышқали	0	4
куатбаев	қуатбаев	0	5
куатбай	қуатбай	0	8
куатбек	қуатбек	0	7
куатжан	қуатжан	0	7
куатов	қуатов	0	6
кубайдолла	құбайдолла	0	12
кудабай	құдабай	3	43
кудайбергенов	құдайбергенов	8	50
кудайберди	құдайберді	0	74
кудияр	құдияр	0	42
кузембаев	күзембаев	5	23
кузенбай	күзенбай	2	12
кулай	күләй	0	22
кулайхан	күләйхан	0	7
кулайша	күләйша	0	5
кулайым	күлайым	0	4
кулатай	құлатай	0	27
кулахмет	құлахмет	3	12
кулаш	күләш	7	151
кулжамал	күлжамал	0	13
кулжан	құлжан	7	46
кулжанов	құлжанов	3	26
кулзипа	күлзипа	0	10
кулзия	күлзия	0	4
кулимхан	күлімхан	0	6
кулманов	құлманов	5	21
кулпан	күлпан	0	4
кулпаш	күлпаш	0	16
кулсара	күлсара	0	3
кулсин	күлсін	0	158
култай	құлтай	4	56
кулшат	күлшат	0	15
кумарбек	құмарбек	0	6
кумархан	құмархан	0	3
кумисбай	күмісбай	2	12
кумисбек	күмісбек	2	15
кумисжан	күмісжан	0	8
кунайым	күнайым	0	18
кунанбай	құнанбай	33	180
кундызай	құндызай	0	10
кунимай	күнімай	0	3
кунтуган	күнтуған	0	7
куракбаев	құрақбаев	0	5
куракбай	құрақбай	0	13
куралбай	құралбай	2	10
